학교명,students_2019,students_2024,change_rate,trend_direction
인천갈월초등학교,380,356,-6.29,down
인천청량초등학교,272,255,-6.29,down
인천미송초등학교,210,197,-6.29,down
인천한별초등학교,489,458,-6.29,down
인천아라초등학교,190,178,-6.29,down
갑룡초등학교,0,0,-6.29,down
인천논곡초등학교,137,128,-6.29,down
인천영종초등학교,413,387,-6.29,down
인천예송초등학교,174,163,-6.29,down
인천건지초등학교,243,228,-6.29,down
인천장아초등학교,155,145,-6.29,down
인천영선초등학교,354,332,-6.29,down
인천부현동초등학교,354,332,-6.29,down
인천후정초등학교,89,83,-6.29,down
인천부곡초등학교,203,190,-6.29,down
인천중산초등학교,305,286,-6.29,down
인천하늘초등학교,365,342,-6.29,down
인천간재울초등학교,177,166,-6.29,down
인천가림초등학교,240,225,-6.29,down
해명초등학교,0,0,-6.29,down
인천화전초등학교,482,452,-6.29,down
인천효성서초등학교,121,113,-6.29,down
인천한들초등학교,64,60,-6.29,down
인천은송초등학교,412,386,-6.29,down
인천구월초등학교,1019,955,-6.29,down
인천초은초등학교,297,278,-6.29,down
인천송명초등학교,75,70,-6.29,down
인천주안초등학교,401,376,-6.29,down
인천가정초등학교,90,84,-6.29,down
양사초등학교,4,4,-6.29,down
인천해원초등학교,368,345,-6.29,down
인천서림초등학교,336,315,-6.29,down
인천가원초등학교,575,539,-6.29,down
조산초등학교,16,15,-6.29,down
인천간석초등학교,681,638,-6.29,down
연평초등학교,10,9,-6.29,down
인천첨단초등학교,61,57,-6.29,down
인천이음초등학교,619,580,-6.29,down
인천안산초등학교,285,267,-6.29,down
하점초등학교,5,5,-6.29,down
인천신정초등학교,1079,1011,-6.29,down
인천영종초등학교금산분교장,1,1,-6.29,down
인천원당초등학교,58,54,-6.29,down
인천용학초등학교,5,5,-6.29,down
인천원동초등학교,362,339,-6.29,down
인천현송초등학교,64,60,-6.29,down
인천부일초등학교,367,344,-6.29,down
인천서곶초등학교,58,54,-6.29,down
인천송담초등학교,153,143,-6.29,down
화도초등학교,0,0,-6.29,down
인천청라초등학교,401,376,-6.29,down
인천연송초등학교,300,281,-6.29,down
강화초등학교,128,120,-6.29,down
인천인동초등학교,744,697,-6.29,down
인천석암초등학교,364,341,-6.29,down
인천운남초등학교,41,38,-6.29,down
인천완정초등학교,395,370,-6.29,down
인천창신초등학교,196,184,-6.29,down
인천백석초등학교,280,262,-6.29,down
명신초등학교,4,4,-6.29,down
인천계양초등학교,117,110,-6.29,down
서도초등학교,0,0,-6.29,down
인천성지초등학교,264,247,-6.29,down
인천당산초등학교,73,68,-6.29,down
인천서흥초등학교,329,308,-6.29,down
교동초등학교,4,4,-6.29,down
인천경명초등학교,86,81,-6.29,down
삼성초등학교,5,5,-6.29,down
인천청일초등학교,472,442,-6.29,down
인천신검단초등학교,11,10,-6.29,down
인천양지초등학교,74,69,-6.29,down
삼산초등학교,2,2,-6.29,down
인천해든초등학교,468,439,-6.29,down
인천도림초등학교,19,18,-6.29,down
대월초등학교,0,0,-6.29,down
북포초등학교,0,0,-6.29,down
인천신월초등학교,270,253,-6.29,down
인천검암초등학교,181,170,-6.29,down
인천청람초등학교,493,462,-6.29,down
인천신현초등학교,434,407,-6.29,down
인천장도초등학교,94,88,-6.29,down
인천금곡초등학교,204,191,-6.29,down
인천송원초등학교,180,169,-6.29,down
인천남부초등학교이작분교장,3,3,-6.29,down
불은초등학교,9,8,-6.29,down
인천만수초등학교,238,223,-6.29,down
인천관교초등학교,413,387,-6.29,down
인천해서초등학교,127,119,-6.29,down
인천장서초등학교,343,321,-6.29,down
인천한길초등학교,369,346,-6.29,down
인천석남서초등학교,203,190,-6.29,down
길상초등학교,26,24,-6.29,down
인천새봄초등학교,353,331,-6.29,down
인천부마초등학교,503,471,-6.29,down
선원초등학교,42,39,-6.29,down
인천대정초등학교,304,285,-6.29,down
인천삼목초등학교장봉분교장,3,3,-6.29,down
인천소양초등학교,60,56,-6.29,down
인천안남초등학교,408,382,-6.29,down
영흥초등학교,0,0,-6.29,down
인천옥련초등학교,757,709,-6.29,down
인천문남초등학교,267,250,-6.29,down
인천동춘초등학교,279,261,-6.29,down
인천먼우금초등학교,401,376,-6.29,down
인천부평북초등학교,295,276,-6.29,down
인천논현초등학교,380,356,-6.29,down
인천해송초등학교,231,216,-6.29,down
인천계양초등학교상야분교장,1,1,-6.29,down
인천작전초등학교,256,240,-6.29,down
인천발산초등학교,275,258,-6.29,down
인천경서초등학교,82,77,-6.29,down
인천만수북초등학교,284,266,-6.29,down
인천단봉초등학교,109,102,-6.29,down
인천신송초등학교,111,104,-6.29,down
인천용마초등학교,50,47,-6.29,down
인천명선초등학교,140,131,-6.29,down
인천효성초등학교,155,145,-6.29,down
인천용현남초등학교,29,27,-6.29,down
인천서운초등학교,216,202,-6.29,down
인천연화초등학교,420,394,-6.29,down
인천연안초등학교,19,18,-6.29,down
인천창영초등학교,182,171,-6.29,down
인천부원초등학교,478,448,-6.29,down
인천새말초등학교,608,570,-6.29,down
인성초등학교,70,66,-6.29,down
인천삼산초등학교,493,462,-6.29,down
인천구산초등학교,431,404,-6.29,down
인천신광초등학교,260,244,-6.29,down
인천학산초등학교,311,291,-6.29,down
인천송천초등학교,380,356,-6.29,down
인천대화초등학교,562,527,-6.29,down
인천연학초등학교,409,383,-6.29,down
인천계산초등학교,155,145,-6.29,down
인천주안북초등학교,210,197,-6.29,down
인천석남초등학교,129,121,-6.29,down
인천가현초등학교,1103,1034,-6.29,down
인천심곡초등학교,171,160,-6.29,down
덕적초등학교,3,3,-6.29,down
인천부개초등학교,641,601,-6.29,down
인천담방초등학교,201,188,-6.29,down
인천사리울초등학교,236,221,-6.29,down
인천공항초등학교,182,171,-6.29,down
인천구월서초등학교,397,372,-6.29,down
인천송현초등학교,226,212,-6.29,down
인천능허대초등학교,626,587,-6.29,down
인천산곡남초등학교,264,247,-6.29,down
인천검단초등학교,139,130,-6.29,down
인천효성동초등학교,350,328,-6.29,down
인천마전초등학교,156,146,-6.29,down
인천서창초등학교,465,436,-6.29,down
인천문학초등학교,286,268,-6.29,down
인천부평남초등학교,364,341,-6.29,down
인천용현남초등학교자월분교장,0,0,-6.29,down
인천부광초등학교,764,716,-6.29,down
인천동암초등학교,329,308,-6.29,down
인천승학초등학교,108,101,-6.29,down
인천부내초등학교,108,101,-6.29,down
인천만석초등학교,101,95,-6.29,down
인천신석초등학교,111,104,-6.29,down
인천조동초등학교,443,415,-6.29,down
인천청호초등학교,443,415,-6.29,down
인천한빛초등학교,431,404,-6.29,down
경인교육대학교부설초등학교,255,239,-6.29,down
인천일신초등학교,269,252,-6.29,down
인천굴포초등학교,316,296,-6.29,down
인천마장초등학교,665,623,-6.29,down
인천인주초등학교,369,346,-6.29,down
인천미산초등학교,184,172,-6.29,down
인천장수초등학교,42,39,-6.29,down
인천주안남초등학교,475,445,-6.29,down
상인천초등학교,491,460,-6.29,down
인천동막초등학교,143,134,-6.29,down
인천동명초등학교,302,283,-6.29,down
인천학익초등학교,70,66,-6.29,down
인천남동초등학교,328,307,-6.29,down
한일초등학교,42,39,-6.29,down
인천주원초등학교,121,113,-6.29,down
인천산곡초등학교,218,204,-6.29,down
인천상아초등학교,254,238,-6.29,down
인천함박초등학교,425,398,-6.29,down
인천선학초등학교,108,101,-6.29,down
인천운서초등학교,71,67,-6.29,down
인천박문초등학교,137,128,-6.29,down
인천상정초등학교,293,275,-6.29,down
인천용일초등학교,289,271,-6.29,down
인천목향초등학교,71,67,-6.29,down
인천고잔초등학교,375,351,-6.29,down
인천소래초등학교,187,175,-6.29,down
인천백학초등학교,259,243,-6.29,down
인천청학초등학교,209,196,-6.29,down
인천정각초등학교,479,449,-6.29,down
인천명현초등학교,471,441,-6.29,down
인천용현초등학교,603,565,-6.29,down
인천능내초등학교,136,127,-6.29,down
인천연성초등학교,134,126,-6.29,down
인천연수초등학교,36,34,-6.29,down
인천동부초등학교,621,582,-6.29,down
인천불로초등학교,263,246,-6.29,down
송해초등학교,5,5,-6.29,down
인천천마초등학교,47,44,-6.29,down
인천부개서초등학교,586,549,-6.29,down
내가초등학교,5,5,-6.29,down
인천용유초등학교,1,1,-6.29,down
인천도화초등학교,206,193,-6.29,down
인천개흥초등학교,530,497,-6.29,down
인천약산초등학교,270,253,-6.29,down
인천봉수초등학교,672,630,-6.29,down
인천은봉초등학교,253,237,-6.29,down
양도초등학교,6,6,-6.29,down
인천만월초등학교,289,271,-6.29,down
인천송일초등학교,229,215,-6.29,down
인천진산초등학교,83,78,-6.29,down
인천용정초등학교,329,308,-6.29,down
인천남촌초등학교,91,85,-6.29,down
인천신대초등학교,163,153,-6.29,down
인천삼목초등학교,75,70,-6.29,down
인천갈산초등학교,65,61,-6.29,down
인천왕길초등학교,203,190,-6.29,down
인천석천초등학교,28,26,-6.29,down
인천송림초등학교,379,355,-6.29,down
인천신촌초등학교,304,285,-6.29,down
인천부흥초등학교,877,822,-6.29,down
인천숭의초등학교,191,179,-6.29,down
인천부평동초등학교,851,797,-6.29,down
인천아람초등학교,66,62,-6.29,down
인천별빛초등학교,149,140,-6.29,down
인천십정초등학교,375,351,-6.29,down
인천병방초등학교,331,310,-6.29,down
대청초등학교,0,0,-6.29,down
인천도담초등학교,549,514,-6.29,down
인천공촌초등학교,164,154,-6.29,down
인천축현초등학교,160,150,-6.29,down
백령초등학교,0,0,-6.29,down
합일초등학교,121,113,-6.29,down
인천신흥초등학교,122,114,-6.29,down
인천남부초등학교,426,399,-6.29,down
인천서면초등학교,231,216,-6.29,down
인천작동초등학교,479,449,-6.29,down
인천신선초등학교,198,186,-6.29,down
인천송월초등학교,74,69,-6.29,down
인천동방초등학교,315,295,-6.29,down
인천청천초등학교,236,221,-6.29,down
인천부평서초등학교,780,731,-6.29,down
인천공항초등학교신도분교장,0,0,-6.29,down
인천산곡북초등학교,267,250,-6.29,down
인천부현초등학교,414,388,-6.29,down
인천송도초등학교,132,124,-6.29,down
인천중앙초등학교,91,85,-6.29,down
인천서화초등학교,261,245,-6.29,down
인천부평초등학교,344,322,-6.29,down
인천귤현초등학교,168,157,-6.29,down
인천신현북초등학교,467,438,-6.29,down
인천길주초등학교,154,144,-6.29,down
인천경원초등학교,605,567,-6.29,down
인천은지초등학교,89,83,-6.29,down
인천금마초등학교,46,43,-6.29,down
인천마곡초등학교,209,196,-6.29,down
인천성리초등학교,507,475,-6.29,down
인천가좌초등학교,232,217,-6.29,down
영화초등학교,187,175,-6.29,down
인천동수초등학교,366,343,-6.29,down
인천봉화초등학교,158,148,-6.29,down
인천백운초등학교,58,54,-6.29,down
인천인수초등학교,104,97,-6.29,down
인천석정초등학교,343,321,-6.29,down
인천가석초등학교,80,75,-6.29,down
인천송빛초등학교,78,73,-6.29,down
인천당하초등학교,343,321,-6.29,down
인천효성남초등학교,411,385,-6.29,down
인천양촌초등학교,149,140,-6.29,down
인천경연초등학교,175,164,-6.29,down
인천하정초등학교,242,227,-6.29,down
